2293572,Zutakope,Zutakope,"Kposem,Zuta Korpe,Zutakope",5.80736,0.41074,P,PPL,GH,,1,316,,,0,,1,Africa/Accra,06/12/2019
2293573,Zuta,Zuta,,6.13373,0.81585,P,PPL,GH,,8,405,,,0,,58,Africa/Accra,06/12/2019
2293574,Zusablaga,Zusablaga,,11.01667,-0.5,P,PPL,GH,,0,,,,0,,415,Africa/Accra,06/01/1994
2293575,Zuoyili,Zuoyili,,10.08587,-0.13587,P,PPL,GH,,6,815,,,0,,180,Africa/Accra,06/12/2019
2293576,Zuorugu,Zuorugu,"Zuazogo,Zuorugu",9.35,-0.88333,P,PPL,GH,,6,811,,,0,,157,Africa/Accra,06/12/2019
2293577,Zuo,Zuo,"Kologu Zuo,Zuo",10.73255,-1.05917,P,PPL,GH,,10,903,,,0,,182,Africa/Accra,06/12/2019
2293578,Zuo,Zuo,"Zo,Zuo",9.37109,-0.74139,P,PPL,GH,,6,811,,,0,,154,Africa/Accra,06/12/2019
2293579,Zune,Zune,,10.33333,-0.75,H,STM,GH,,0,,,,0,,149,Africa/Accra,06/01/1994
2293580,Zundem,Zundem,"Sunyensi Zungdem,Zundem",10.67045,-1.38137,P,PPL,GH,,10,901,,,0,,182,Africa/Accra,06/12/2019
2293581,Zumai,Zumai,,6.1133,0.37887,P,PPL,GH,,8,419,,,0,,16,Africa/Accra,06/12/2019
2293582,Zulugu,Zulugu,"Tampielim,Zulugu",11.02381,-0.30067,P,PPL,GH,,10,912,,,0,,242,Africa/Accra,06/12/2019
2293583,Zulor,Zulor,"Zilogu,Zulawgwaw,Zulor",9.58333,-0.41667,P,PPL,GH,,6,815,,,0,,208,Africa/Accra,06/12/2019
2293584,Zulong,Zulong,,9.73333,-0.8,H,STMI,GH,,0,,,,0,,114,Africa/Accra,06/01/1994
2293585,Zule,Zule,"Zudli,Zule,Zuli",10.95,-0.2,P,PPL,GH,,10,909,,,0,,210,Africa/Accra,06/12/2019
2293586,Zulabong,Zulabong,,9.67829,-1.00104,H,STMI,GH,,0,,,,0,,105,Africa/Accra,05/06/2011
2293587,Zuku,Zuku,"Zorgo,Zuku",11.06667,-0.28333,P,PPL,GH,,10,912,,,0,,251,Africa/Accra,06/12/2019
2293588,Zujung,Zujung,Zujung,9.37542,-0.86173,P,PPL,GH,,6,811,,,0,,183,Africa/Accra,06/12/2019
2293589,Zugu,Zugu,,10.99782,-0.15137,H,STM,GH,,0,,,,0,,202,Africa/Accra,05/06/2011
2293590,Zugu,Zugu,,11.02219,-0.13351,P,PPL,GH,,10,913,,,0,,223,Africa/Accra,06/12/2019
2293591,Zubiong,Zubiong,"Zubieng Yapalse,Zubiong",10.71667,-0.8,P,PPL,GH,,10,905,,,0,,192,Africa/Accra,06/12/2019
2293592,Zuawlugu,Zuawlugu,"Zalugu,Zawlugu,Zuawlugu",10.07964,-0.8988,P,PPL,GH,,15,820,,,0,,139,Africa/Accra,21/06/2023
2293593,Zuarungu,Zuarungu,"Kantisabilisi,Zouarago,Zuaragu,Zuarungu,Zuarungu Kantia,Zvarungu",10.78556,-0.80093,P,PPL,GH,,10,904,,,0,,220,Africa/Accra,05/12/2019
2293594,Zuare,Zuare,"Sauare,Zuare",10.67527,-0.16192,H,STM,GH,,0,,,,0,,179,Africa/Accra,18/01/2012
2293595,Zua,Zua,,10.68993,-0.44426,P,PPL,GH,,10,907,,,0,,223,Africa/Accra,06/12/2019
2293596,Zoya,Zoya,"Soiea,Soiëa,Zonya,Zoya",9.24436,0.31803,P,PPL,GH,,6,809,,,0,,139,Africa/Accra,06/12/2019
2293597,Zoseko,Zoseko,Zoseko,10.63333,-0.86667,T,HLL,GH,,10,905,,,0,,172,Africa/Accra,06/12/2019
2293598,Zosalli,Zosalli,"Zosali,Zosalli",9.89678,-0.83616,P,PPL,GH,,6,813,,,0,,130,Africa/Accra,06/12/2019
2293599,Zosa,Zosa,,10.69262,-1.39182,P,PPL,GH,,10,901,,,0,,189,Africa/Accra,06/12/2019
2293600,Zorro,Zorro,,9.58333,-0.93333,P,PPL,GH,,6,822,,,0,,137,Africa/Accra,06/12/2019
2293601,Zongo Macheri,Zongo Macheri,"Sogo-n-Masche,Zongo Macheri,Zongo Markyeri",8.28333,-0.1,P,PPL,GH,,16,425,,,0,,154,Africa/Accra,06/12/2019
2293602,Zongoiri,Zongoiri,"Zongoin,Zongoiri,Zongoiri Natinga,Zungori",10.66589,-0.41095,P,PPL,GH,,10,907,,,0,,206,Africa/Accra,06/12/2019
2293603,Zongo Dagi,Zongo Dagi,"Zongo Dagi,Zongo Dagyi",7.9799,-1.73701,P,PPL,GH,,14,721,,,0,,303,Africa/Accra,08/12/2019
2293604,Zongo,Zongo,,6.2192,0.51467,P,PPL,GH,,8,406,,,0,,66,Africa/Accra,06/12/2019
2293605,Zondu,Zondu,Zondu,6.29115,0.30073,T,HLL,GH,,8,419,,,0,,200,Africa/Accra,06/12/2019
2293606,Zonayili,Zonayili,,9.48539,-1.13232,P,PPL,GH,,6,812,,,0,,170,Africa/Accra,06/12/2019
